subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
382215,1,12.680369,11.508934,12.630596,11.290925,16690.486328,32468.421875,27752.277344,-57.456309999999995,8.886586999999999,-33.425629,99.710617,5.349792,398.168396,0.009765000000000001
382216,1,11.473321,10.456559,11.402405,10.208364,16787.425781,32388.708983999997,27991.089844,121.009758,46.860439,-216.979279,20.754601,11.016597,150.504196,13.890943
383975,1,12.63906,11.397908000000001,12.599310000000001,11.11646,19762.34375,3124.885254,26042.443359,35.892604999999996,-132.569641,172.531952,113.17797900000001,10.469897,322.958435,0.856712
383976,1,11.530288,10.663244,11.354067,10.825163,19776.490234,3192.80957,26063.457031,160.13464399999998,-17.850939,106.103104,10.194339,10.871172,229.261688,4.28292
383977,1,11.088683999999999,10.04318,11.035657,9.483182000000001,19546.605469,2950.886719,26110.212891,111.682724,83.853004,24.365063,18.255505,10.481905000000001,107.659676,7.925567999999999
383978,1,10.801582000000002,9.969147999999999,10.695208000000001,9.646583,19756.814453,3084.8828120000003,25933.033203,-6.260137,115.991394,423.183075,8.980067,10.531731,103.380081,9.640357
383979,1,10.568223,9.70279,10.481651,9.21349,19826.595703,3149.709229,26015.671875,14.953489999999999,-88.373154,444.30917400000004,7.218259,10.146219,88.606689,5.401688
386269,1,12.418357,11.163885,12.370175999999999,11.110781,3788.611572,20141.369141,14683.478516,267.37557999999996,-105.89169299999999,64.699394,84.678368,10.262814,271.14794900000004,0.754452
386270,1,11.897078,10.406578999999999,11.844412,10.809329,3743.404785,20344.648438,14446.898438,136.802673,115.100449,-98.494164,28.783728000000004,10.260354,251.80483999999998,0.869875
386271,1,11.528257,10.516995,11.462324,10.165303999999999,3540.2482909999994,20418.318359,14823.810547,361.689423,93.647774,-295.070129,27.173842999999998,11.058481,142.623718,17.03443
388544,1,12.655925,11.407311,12.61227,11.248786,8169.255370999999,28214.832031,19020.402344,-56.64755600000001,-274.394409,218.769592,127.806381,11.298338000000001,282.217621,7.557875999999999
